contig	cov_mean_sample_idba_ud_perc100_sorted
contig-100_30.5	12.832
contig-100_30.6	11.473
contig-100_30.7	11.824
contig-100_30.8	13.024
contig-100_30.9	11.284
contig-100_30.10	11.804
contig-100_30.11	11.031
contig-100_30.12	11.544
contig-100_30.13	10.760
contig-100_30.14	12.667
contig-100_30.15	11.925
contig-100_30.16	12.035
contig-100_30.17	11.697
contig-100_30.18	11.660
contig-100_31.0	12.169
contig-100_31.1	11.892
contig-100_31.2	12.128
contig-100_31.3	11.998
contig-100_31.4	11.900
contig-100_31.5	10.165
contig-100_31.6	12.799
contig-100_31.7	12.529
contig-100_31.8	12.755
contig-100_31.9	12.968
contig-100_31.10	11.308
contig-100_31.11	12.288
contig-100_31.12	12.022
contig-100_31.13	12.528
contig-100_31.14	10.836
contig-100_31.15	12.916
contig-100_31.16	11.649
contig-100_31.17	12.684
contig-100_32.0	27.540
contig-100_32.1	28.968
contig-100_32.2	27.339
contig-100_32.3	28.232
contig-100_32.4	27.231
contig-100_32.5	27.373
contig-100_32.6	30.650
contig-100_32.7	29.282
contig-100_32.8	28.822
contig-100_32.9	29.974
contig-100_32.10	29.537
contig-100_32.11	27.760
contig-100_32.12	27.717
contig-100_32.13	29.169
contig-100_32.14	28.443
contig-100_32.15	29.634
contig-100_32.16	28.571
contig-100_32.17	26.871
contig-100_33.0	26.144
contig-100_33.1	28.835
contig-100_33.2	29.197
contig-100_33.3	28.299
contig-100_33.4	31.148
contig-100_33.5	28.383
contig-100_33.6	28.268
contig-100_33.7	29.296
contig-100_33.8	26.123
contig-100_33.9	28.487
contig-100_33.10	29.737
contig-100_33.11	28.311
contig-100_33.12	28.491
contig-100_33.13	28.639
contig-100_33.14	28.228
contig-100_33.15	29.753
contig-100_33.16	28.266
contig-100_33.17	26.386
contig-100_34.0	17.000
contig-100_34.1	17.070
contig-100_34.2	15.645
contig-100_34.3	16.801
contig-100_34.4	17.549
contig-100_34.5	15.219
contig-100_34.6	16.778
contig-100_34.7	16.851
contig-100_34.8	17.261
contig-100_34.9	15.348
contig-100_34.10	16.328
contig-100_34.11	16.206
contig-100_34.12	17.470
contig-100_34.13	16.439
contig-100_34.14	15.985
contig-100_34.15	15.748
contig-100_34.16	16.759
contig-100_34.17	17.111
contig-100_35.0	12.317
contig-100_35.1	12.647
contig-100_35.2	11.210
contig-100_35.3	12.737
contig-100_35.4	10.563
contig-100_35.5	11.695
contig-100_35.6	11.124
contig-100_35.7	12.334
contig-100_35.8	13.112
contig-100_35.9	12.275
contig-100_35.10	11.823
contig-100_35.11	12.510
contig-100_35.12	12.291
contig-100_35.13	12.327
contig-100_35.14	11.400
contig-100_35.15	10.896
