contig	cov_mean_sample_metaspades_perc100_sorted
NODE_5_length_553228_cov_12.779018.4	17.550
NODE_5_length_553228_cov_12.779018.5	15.884
NODE_5_length_553228_cov_12.779018.6	17.069
NODE_5_length_553228_cov_12.779018.7	17.968
NODE_5_length_553228_cov_12.779018.8	18.834
NODE_5_length_553228_cov_12.779018.9	17.510
NODE_5_length_553228_cov_12.779018.10	15.985
NODE_5_length_553228_cov_12.779018.11	16.922
NODE_5_length_553228_cov_12.779018.12	15.314
NODE_5_length_553228_cov_12.779018.13	16.508
NODE_5_length_553228_cov_12.779018.14	16.719
NODE_5_length_553228_cov_12.779018.15	17.043
NODE_5_length_553228_cov_12.779018.16	17.903
NODE_5_length_553228_cov_12.779018.17	17.320
NODE_5_length_553228_cov_12.779018.18	16.468
NODE_5_length_553228_cov_12.779018.19	16.868
NODE_5_length_553228_cov_12.779018.20	17.716
NODE_5_length_553228_cov_12.779018.21	17.362
NODE_5_length_553228_cov_12.779018.22	16.262
NODE_5_length_553228_cov_12.779018.23	15.061
NODE_5_length_553228_cov_12.779018.24	17.571
NODE_5_length_553228_cov_12.779018.25	16.943
NODE_5_length_553228_cov_12.779018.26	15.022
NODE_5_length_553228_cov_12.779018.27	16.921
NODE_5_length_553228_cov_12.779018.28	17.850
NODE_5_length_553228_cov_12.779018.29	16.256
NODE_5_length_553228_cov_12.779018.30	18.770
NODE_5_length_553228_cov_12.779018.31	17.526
NODE_5_length_553228_cov_12.779018.32	17.776
NODE_5_length_553228_cov_12.779018.33	17.210
NODE_5_length_553228_cov_12.779018.34	15.321
NODE_5_length_553228_cov_12.779018.35	15.455
NODE_5_length_553228_cov_12.779018.36	16.292
NODE_5_length_553228_cov_12.779018.37	16.694
NODE_5_length_553228_cov_12.779018.38	16.724
NODE_5_length_553228_cov_12.779018.39	17.102
NODE_5_length_553228_cov_12.779018.40	16.119
NODE_5_length_553228_cov_12.779018.41	15.317
NODE_5_length_553228_cov_12.779018.42	17.510
NODE_5_length_553228_cov_12.779018.43	16.214
NODE_5_length_553228_cov_12.779018.44	16.977
NODE_5_length_553228_cov_12.779018.45	18.075
NODE_5_length_553228_cov_12.779018.46	18.285
NODE_5_length_553228_cov_12.779018.47	16.220
NODE_5_length_553228_cov_12.779018.48	17.046
NODE_5_length_553228_cov_12.779018.49	17.764
NODE_5_length_553228_cov_12.779018.50	17.456
NODE_5_length_553228_cov_12.779018.51	15.040
NODE_5_length_553228_cov_12.779018.52	17.067
NODE_5_length_553228_cov_12.779018.53	16.542
NODE_5_length_553228_cov_12.779018.54	17.123
NODE_6_length_544839_cov_12.462009.0	15.099
NODE_6_length_544839_cov_12.462009.1	16.975
NODE_6_length_544839_cov_12.462009.2	15.445
NODE_6_length_544839_cov_12.462009.3	18.418
NODE_6_length_544839_cov_12.462009.4	15.589
NODE_6_length_544839_cov_12.462009.5	15.558
NODE_6_length_544839_cov_12.462009.6	17.310
NODE_6_length_544839_cov_12.462009.7	17.241
NODE_6_length_544839_cov_12.462009.8	16.355
NODE_6_length_544839_cov_12.462009.9	16.702
NODE_6_length_544839_cov_12.462009.10	15.804
NODE_6_length_544839_cov_12.462009.11	15.891
NODE_6_length_544839_cov_12.462009.12	15.938
NODE_6_length_544839_cov_12.462009.13	17.017
NODE_6_length_544839_cov_12.462009.14	17.573
NODE_6_length_544839_cov_12.462009.15	16.696
NODE_6_length_544839_cov_12.462009.16	17.963
NODE_6_length_544839_cov_12.462009.17	16.487
NODE_6_length_544839_cov_12.462009.18	18.179
NODE_6_length_544839_cov_12.462009.19	15.596
NODE_6_length_544839_cov_12.462009.20	15.575
NODE_6_length_544839_cov_12.462009.21	17.287
NODE_6_length_544839_cov_12.462009.22	16.495
NODE_6_length_544839_cov_12.462009.23	18.036
NODE_6_length_544839_cov_12.462009.24	15.635
NODE_6_length_544839_cov_12.462009.25	16.341
NODE_6_length_544839_cov_12.462009.26	17.183
NODE_6_length_544839_cov_12.462009.27	16.836
NODE_6_length_544839_cov_12.462009.28	16.127
NODE_6_length_544839_cov_12.462009.29	15.686
NODE_6_length_544839_cov_12.462009.30	17.270
NODE_6_length_544839_cov_12.462009.31	16.639
NODE_6_length_544839_cov_12.462009.32	15.629
NODE_6_length_544839_cov_12.462009.33	17.145
NODE_6_length_544839_cov_12.462009.34	15.442
NODE_6_length_544839_cov_12.462009.35	16.398
